X,Y,Z
0,0,0
-97,-96,-36
60,46,-65
-43,-2,33
48,67,93
50,-30,12
-4,-60,-11
13,-34,87
-43,100,-89
2,33,-100
-51,-65,-98
-59,-73,-75
-85,-48,-19
-100,40,-9
40,3,38
91,-76,-2
34,90,-69
94,-89,30
73,-38,-57
47,74,-54
-92,92,-7
-65,-17,-18
-10,60,32
55,91,50
21,78,-10
-98,-1,-45
-68,-14,-30
-96,22,-32
-51,-19,-85
-77,67,-93
85,-38,-50
-69,36,21
-3,-26,-39
-3,-35,-97
-97,15,-62
-41,81,2
52,-77,-11
25,23,-10
82,-89,-13
22,64,80
-97,72,94
85,49,25
49,-31,33
58,40,54
-37,43,95
