X,Y,Z
0,0,0
-89,42,-27
9,-93,47
9,77,57
-99,-43,-13
36,-70,5
89,-68,-98
-4,-70,31
-17,-4,81
77,40,-83
-39,67,-88
-79,65,13
75,10,-52
66,-63,84
-71,78,-34
-4,6,-25
58,-2,61
-54,12,-49
-82,51,-40
27,-6,55
-59,69,57
-24,10,70
6,-4,17
63,-86,-79
7,-54,58
57,-43,-42
50,18,72
-62,-31,37
46,76,-98
-69,79,-51
-43,31,39
58,50,-12
58,-9,-23
45,-41,53
94,-22,30
-27,28,11
-10,-1,-27
59,29,69
89,-51,82
-38,64,-63
28,97,-50
48,-16,-44
-58,56,-87
32,22,-27
-36,-37,73
66,-90,38
66,-100,82
