X,Y,Z
0,0,0
83,19,-4
36,75,58
26,-31,17
75,-17,-10
-36,-37,-37
-100,-76,93
60,-55,28
61,54,23
-65,71,-31
44,-82,-95
-98,-97,53
92,26,-78
13,15,-63
-79,-75,13
44,-85,-30
100,74,-29
-40,-45,-72
66,10,40
87,63,-20
-71,82,-52
-29,34,53
55,-40,-75
19,82,-81
-42,50,9
-7,-65,11
-69,19,-83
-85,4,25
40,-43,-93
-14,-15,-19
41,-92,14
-15,-61,-32
-93,-84,-21
-8,63,31
75,28,-8
3,-99,-42
75,-34,47
-34,42,95
13,84,74
6,94,-17
-84,82,57
-15,64,-99
-23,-44,50
-95,44,81
-87,19,4
