X,Y,Z
0,0,0
54,-32,-30
-32,-50,87
-4,-14,27
76,26,92
25,66,-36
37,-27,58
-40,99,2
74,-78,-72
43,43,76
-66,-69,34
83,65,-54
-25,100,-14
12,18,-54
-66,94,15
-67,29,-65
-34,-30,6
-17,43,-37
-3,-2,-81
-40,-47,47
-4,-94,29
-42,96,66
73,76,-69
28,-11,38
34,-64,-69
-1,18,-63
-4,-72,-20
-94,-44,35
100,-15,-29
91,-2,76
-23,-72,-67
-44,31,51
-59,-77,-80
-51,-6,60
-93,77,93
76,-52,97
-22,-12,-15
-36,53,-65
-4,-75,91
64,-32,1
-20,-40,-75
91,-1,66
-51,31,93
78,0,57
4,31,-37
84,64,-27
-98,54,37
46,35,89
