X,Y,Z
0,0,0
68,-39,-51
35,80,-28
-63,30,-90
16,90,64
38,-68,6
-96,55,-84
98,-56,-99
32,-59,-26
-29,88,-100
-14,-74,38
53,8,6
75,86,-82
-44,-49,31
-70,64,-89
87,15,-8
-94,-25,-19
91,22,15
57,-32,-11
15,93,-98
51,-29,-36
85,37,78
-88,-33,89
7,91,-39
18,-33,-21
78,-77,14
44,34,-16
-47,-83,100
-37,-28,-2
-98,-99,41
-48,-32,-26
-78,13,-43
-77,-71,-78
43,-34,35
7,67,3
17,50,-42
-65,23,54
-93,7,-17
93,79,-56
-13,-56,9
-97,68,-74
-36,-45,-24
-72,21,10
11,-38,-90
14,-41,81
